"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",17030465539.3906,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",17275940449.3837,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",19231747851.5332,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",23287712878.2002,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",20963733694.9749,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",22465522884.0988,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",28283323733.1114,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",31086389194.961002,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",33930457425.2613,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",37171640818.5863,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",42327664793.6934,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",48869830901.7878,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",58434858374.8696,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",83592275862.9982,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",109794519727.538,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",129203555238.827,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",153168949208.207,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",176344101401.941,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",200278646123.581,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",221338204480.222,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",237393489892.637,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",258015174748.64804,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",271314113768.41696,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",189656506321.431,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",188339974086.58,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",210879844638.877,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",256480852471.129,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",283056836893.838,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",307881930752.268,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",412990820287.42,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",464989098144.854,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",342534090909.091,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",328191909882.232,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",368292034380.96,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",525369467295.737,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",769333050986.905,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",850426432991.742,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",883206179730.462,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",863710759256.435,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",599642024319.531,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",655448231983.527,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",559983634798.981,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",509795273806.715,"Nominal GDP"
"country/BRA","BR","Brazil","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",558233745651.874,"Nominal GDP"
