idade,genero,estado_civil,regiao,renda_mensal,nivel_educacional,perfil_investidor,tempo_experiencia_mercado,valor_total_investido,objetivo_principal,setores_preferenciais,frequencia_operacoes,conhecimento_mercado,usa_analise_tecnica,usa_analise_fundamentalista
66,Masculino,Viúvo,Norte,12760.26,Superior Incompleto,Conservador,8.7,212886.53,Aposentadoria,Saneamento,Mensal,Alto,Sim,Sim
50,Outro,Casado,Centro-Oeste,15705.64,Fundamental,Arrojado,14.6,966958.14,Viagem,Saneamento,Anual,Baixo,Sim,Não
44,Feminino,Viúvo,Nordeste,3325.68,Superior Incompleto,Arrojado,18.3,265247.85,Renda Passiva,Outro,Mensal,Médio,Não,Não
26,Feminino,Divorciado,Sudeste,10291.18,Médio,Arrojado,14.2,610978.75,Reserva de Emergência,Varejo,Anual,Médio,Sim,Sim
26,Feminino,Viúvo,Centro-Oeste,17540.7,Fundamental,Moderado,10.0,850388.44,Diversificação,Construção Civil,Mensal,Alto,Não,Sim
32,Masculino,Casado,Sul,13702.17,Médio,Conservador,13.6,341620.1,Educação dos Filhos,Commodities,Anual,Alto,Sim,Sim
50,Masculino,Divorciado,Norte,22129.56,Superior Completo,Arrojado,6.9,675718.38,Renda Passiva,Saneamento,Mensal,Médio,Sim,Não
55,Outro,Divorciado,Norte,3198.78,Médio,Arrojado,25.5,60159.26,Compra de Imóvel,Tecnologia,Ocasional (Buy and Hold),Alto,Sim,Sim
60,Outro,Solteiro,Nordeste,13364.68,Pós-graduado,Agressivo,1.3,225544.9,Reserva de Emergência,Construção Civil,Semanal (Swing Trade),Médio,Não,Não
32,Outro,Solteiro,Sul,11268.21,Superior Incompleto,Moderado,28.6,903378.49,Diversificação,Varejo,Day Trade,Alto,Não,Não
34,Outro,Viúvo,Nordeste,26428.46,Superior Completo,Agressivo,2.0,497984.2,Diversificação,Papel e Celulose,Day Trade,Baixo,Sim,Não
55,Feminino,Divorciado,Nordeste,3683.75,Médio,Conservador,27.8,647294.52,Educação dos Filhos,Papel e Celulose,Ocasional (Buy and Hold),Baixo,Sim,Sim
54,Masculino,Casado,Centro-Oeste,3218.71,Médio,Moderado,19.9,744606.87,Curto Prazo,Outro,Anual,Alto,Não,Não
